,UF,NOME DA UF,MUNICIPIO,NOME DO MUNICIPIO,DISTRITO,NOME DO DISTRITO,SUBDISTRITO,NOME DO SUBDISTRITO,CODIGO IBGE
3,41,Paraná,00608,Alto Paraná,15,Santa Maria,,,4100608
5,41,Paraná,00905,Amaporã,10,Nordestina,,,4100905
6,41,Paraná,06704,Cruzeiro do Sul,05,Cruzeiro do Sul,,,4106704
7,41,Paraná,07108,Diamante do Norte,05,Diamante do Norte,,,4107108
8,41,Paraná,08908,Guairaçá,05,Guairaçá,,,4108908
9,41,Paraná,10300,Inajá,05,Inajá,,,4110300
10,41,Paraná,11308,Itaúna do Sul,05,Itaúna do Sul,,,4111308
11,41,Paraná,12603,Jardim Olinda,05,Jardim Olinda,,,4112603
12,41,Paraná,13502,Loanda,05,Loanda,,,4113502
13,41,Paraná,15002,Marilena,05,Marilena,,,4115002
14,41,Paraná,15903,Mirador,05,Mirador,,,4115903
15,41,Paraná,16505,Nova Aliança do Ivaí,05,Nova Aliança do Ivaí,,,4116505
17,41,Paraná,17107,Nova Londrina,10,Cintra Pimentel,,,4117107
18,41,Paraná,18006,Paraíso do Norte,05,Paraíso do Norte,,,4118006
19,41,Paraná,18105,Paranacity,05,Paranacity,,,4118105
20,41,Paraná,18303,Paranapoema,05,Paranapoema,,,4118303
25,41,Paraná,18402,Paranavaí,25,Sumaré,,,4118402
27,41,Paraná,19707,Planaltina do Paraná,10,Comur,,,4119707
28,41,Paraná,20200,Porto Rico,05,Porto Rico,,,4120200
31,41,Paraná,21000,Querência do Norte,15,Porto Brasílio,,,4121000
33,41,Paraná,23303,Santa Cruz de Monte Castelo,10,Santa Esmeralda,,,4123303
35,41,Paraná,23709,Santa Isabel do Ivaí,15,São José do Ivaí,,,4123709
36,41,Paraná,23956,Santa Mônica,05,Santa Mônica,,,4123956
37,41,Paraná,24202,Santo Antônio do Caiuá,05,Santo Antônio do Caiuá,,,4124202
39,41,Paraná,24608,São Carlos do Ivaí,10,Porto São Carlos,,,4124608
40,41,Paraná,24905,São João do Caiuá,05,São João do Caiuá,,,4124905
42,41,Paraná,25902,São Pedro do Paraná,10,Porto São José,,,4125902
43,41,Paraná,26702,Tamboara,05,Tamboara,,,4126702
45,41,Paraná,27304,Terra Rica,10,Adhemar de Barros,,,4127304
48,41,Paraná,00509,Altônia,15,São João,,,4100509
52,41,Paraná,00707,Alto Piquiri,25,Saltinho do Oeste,,,4100707
53,41,Paraná,03370,Brasilândia do Sul,05,Brasilândia do Sul,,,4103370
56,41,Paraná,03479,Cafezal do Sul,15,Jangada,,,4103479
59,41,Paraná,06605,Cruzeiro do Oeste,15,São Silvestre,,,4106605
60,41,Paraná,07256,Douradina,05,Douradina,,,4107256
61,41,Paraná,07520,Esperança Nova,05,Esperança Nova,,,4107520
63,41,Paraná,08320,Francisco Alves,10,Rio Bonito,,,4108320
66,41,Paraná,09906,Icaraíma,15,Vila Rica do Ivaí,,,4109906
69,41,Paraná,10607,Iporã,15,Oroite,,,4110607
71,41,Paraná,11555,Ivaté,15,Herculândia,,,4111555
73,41,Paraná,14708,Maria Helena,10,Carbonera,,,4114708
75,41,Paraná,15101,Mariluz,10,São Luiz,,,4115101
76,41,Paraná,17206,Nova Olímpia,05,Nova Olímpia,,,4117206
77,41,Paraná,18857,Perobal,05,Perobal,,,4118857
78,41,Paraná,18907,Pérola,05,Pérola,,,4118907
79,41,Paraná,25357,São Jorge do Patrocínio,05,São Jorge do Patrocínio,,,4125357
80,41,Paraná,26900,Tapira,05,Tapira,,,4126900
85,41,Paraná,28104,Umuarama,35,Serra dos Dourados,,,4128104
86,41,Paraná,28625,Alto Paraíso,05,Alto Paraíso,,,4128625
87,41,Paraná,28807,Xambrê,05,Xambrê,,,4128807
90,41,Paraná,05508,Cianorte,15,Vidigal,,,4105508
91,41,Paraná,05607,Cidade Gaúcha,05,Cidade Gaúcha,,,4105607
92,41,Paraná,09104,Guaporema,05,Guaporema,,,4109104
93,41,Paraná,10409,Indianópolis,05,Indianópolis,,,4110409
94,41,Paraná,12405,Japurá,05,Japurá,,,4112405
95,41,Paraná,13007,Jussara,05,Jussara,,,4113007
96,41,Paraná,22602,Rondon,05,Rondon,,,4122602
97,41,Paraná,25555,São Manoel do Paraná,05,São Manoel do Paraná,,,4125555
98,41,Paraná,26108,São Tomé,05,São Tomé,,,4126108
100,41,Paraná,26801,Tapejara,10,Bela Vista do Tapiracuí,,,4126801
103,41,Paraná,27908,Tuneiras do Oeste,15,Marabá,,,4127908
104,41,Paraná,00459,Altamira do Paraná,05,Altamira do Paraná,,,4100459
105,41,Paraná,03008,Boa Esperança,05,Boa Esperança,,,4103008
109,41,Paraná,03909,Campina da Lagoa,20,Salles de Oliveira,,,4103909
110,41,Paraná,08601,Goioerê,05,Goioerê,,,4108601
112,41,Paraná,12207,Janiópolis,10,Arapuan,,,4112207
115,41,Paraná,12959,Juranda,10,Rio Verde,,,4112959
117,41,Paraná,16109,Moreira Sales,10,Paraná d'Oeste,,,4116109
120,41,Paraná,16802,Nova Cantu,15,Santo Rei,,,4116802
121,41,Paraná,20655,Quarto Centenário,05,Quarto Centenário,,,4120655
122,41,Paraná,21356,Rancho Alegre D'Oeste,05,Rancho Alegre D'Oeste,,,4121356
124,41,Paraná,28005,Ubiratã,10,Yolanda,,,4128005
126,41,Paraná,01705,Araruna,15,São Vicente,,,4101705
131,41,Paraná,02505,Barbosa Ferraz,25,Tereza Breda,,,4102505
138,41,Paraná,04303,Campo Mourão,20,Piquirivaí,,,4104303
139,41,Paraná,06555,Corumbataí do Sul,05,Corumbataí do Sul,,,4106555
145,41,Paraná,07504,Engenheiro Beltrão,20,Triângulo,,,4107504
147,41,Paraná,07553,Farol,10,Martinópolis D'Oeste,,,4107553
150,41,Paraná,07702,Fênix,15,Porteira Preta,,,4107702
153,41,Paraná,10805,Iretama,10,Marilu,,,4110805
154,41,Paraná,13734,Luiziana,05,Luiziana,,,4113734
155,41,Paraná,14005,Mamborê,05,Mamborê,,,4114005
156,41,Paraná,18808,Peabiru,05,Peabiru,,,4118808
158,41,Paraná,21109,Quinta do Sol,10,Irapuan,,,4121109
160,41,Paraná,22503,Roncador,10,Alto do São João,,,4122503
161,41,Paraná,27205,Terra Boa,05,Terra Boa,,,4127205
162,41,Paraná,01150,Ângulo,05,Ângulo,,,4101150
166,41,Paraná,02109,Astorga,20,Tupinambá,,,4102109
167,41,Paraná,02208,Atalaia,05,Atalaia,,,4102208
168,41,Paraná,03404,Cafeara,05,Cafeara,,,4103404
169,41,Paraná,05102,Centenário do Sul,05,Centenário do Sul,,,4105102
171,41,Paraná,05904,Colorado,10,Alto Alegre,,,4105904
172,41,Paraná,08106,Flórida,05,Flórida,,,4108106
174,41,Paraná,09203,Guaraci,10,Bentópolis,,,4109203
175,41,Paraná,10003,Iguaraçu,05,Iguaraçu,,,4110003
176,41,Paraná,10904,Itaguajé,05,Itaguajé,,,4110904
177,41,Paraná,11902,Jaguapitã,05,Jaguapitã,,,4111902
178,41,Paraná,13601,Lobato,05,Lobato,,,4113601
180,41,Paraná,13809,Lupionópolis,10,Mairá,,,4113809
181,41,Paraná,14104,Mandaguaçu,05,Mandaguaçu,,,4114104
183,41,Paraná,16307,Munhoz de Melo,10,Fernão Dias,,,4116307
184,41,Paraná,16406,Nossa Senhora das Graças,05,Nossa Senhora das Graças,,,4116406
187,41,Paraná,16901,Nova Esperança,15,Ivaitinga,,,4116901
189,41,Paraná,20408,Presidente Castelo Branco,10,Boa Vista,,,4120408
190,41,Paraná,23402,Santa Fé,05,Santa Fé,,,4123402
191,41,Paraná,23600,Santa Inês,05,Santa Inês,,,4123600
192,41,Paraná,24509,Santo Inácio,05,Santo Inácio,,,4124509
193,41,Paraná,28302,Uniflor,05,Uniflor,,,4128302
195,41,Paraná,00806,Alvorada do Sul,10,Esperança do Norte,,,4100806
197,41,Paraná,02802,Bela Vista do Paraíso,10,Santa Margarida,,,4102802
198,41,Paraná,08007,Florestópolis,05,Florestópolis,,,4108007
199,41,Paraná,16000,Miraselva,05,Miraselva,,,4116000
200,41,Paraná,20002,Porecatu,05,Porecatu,,,4120002
201,41,Paraná,20333,Prado Ferreira,05,Prado Ferreira,,,4120333
203,41,Paraná,20507,Primeiro de Maio,10,Ibiaci,,,4120507
204,41,Paraná,26504,Sertanópolis,05,Sertanópolis,,,4126504
205,41,Paraná,07306,Doutor Camargo,05,Doutor Camargo,,,4107306
207,41,Paraná,07801,Floraí,10,Nova Bilac,,,4107801
208,41,Paraná,07900,Floresta,05,Floresta,,,4107900
209,41,Paraná,11100,Itambé,05,Itambé,,,4111100
210,41,Paraná,11605,Ivatuba,05,Ivatuba,,,4111605
211,41,Paraná,17404,Ourizona,05,Ourizona,,,4117404
213,41,Paraná,25308,São Jorge do Ivaí,10,Copacabana do Norte,,,4125308
214,41,Paraná,14203,Mandaguari,05,Mandaguari,,,4114203
218,41,Paraná,14807,Marialva,20,São Miguel do Cambuí,,,4114807
268,41,Paraná,15200,Maringá,15,Iguatemi,33,Zona 33,4115200
270,41,Paraná,17503,Paiçandu,10,Água Boa,,,4117503
271,41,Paraná,26256,Sarandi,05,Sarandi,,,4126256
276,41,Paraná,01408,Apucarana,25,Vila Reis,,,4101408
277,41,Paraná,01507,Arapongas,05,Arapongas,,,4101507
278,41,Paraná,03503,Califórnia,05,Califórnia,,,4103503
279,41,Paraná,03800,Cambira,05,Cambira,,,4103800
281,41,Paraná,12108,Jandaia do Sul,10,São José,,,4112108
283,41,Paraná,14906,Marilândia do Sul,25,Nova Amoreira,,,4114906
284,41,Paraná,15754,Mauá da Serra,05,Mauá da Serra,,,4115754
285,41,Paraná,17297,Novo Itacolomi,05,Novo Itacolomi,,,4117297
286,41,Paraná,22701,Sabáudia,05,Sabáudia,,,4122701
288,41,Paraná,03701,Cambé,10,Prata,,,4103701
289,41,Paraná,09807,Ibiporã,05,Ibiporã,,,4109807
297,41,Paraná,13700,Londrina,45,Warta,,,4113700
298,41,Paraná,19657,Pitangueiras,05,Pitangueiras,,,4119657
301,41,Paraná,22404,Rolândia,20,São Martinho,,,4122404
302,41,Paraná,26678,Tamarana,05,Tamarana,,,4126678
303,41,Paraná,03206,Bom Sucesso,05,Bom Sucesso,,,4103206
304,41,Paraná,03305,Borrazópolis,05,Borrazópolis,,,4103305
305,41,Paraná,06852,Cruzmaltina,05,Cruzmaltina,,,4106852
307,41,Paraná,07603,Faxinal,15,Nova Altamira,,,4107603
308,41,Paraná,13106,Kaloré,05,Kaloré,,,4113106
309,41,Paraná,15507,Marumbi,05,Marumbi,,,4115507
311,41,Paraná,22107,Rio Bom,10,Santo Antônio do Palmital,,,4122107
312,41,Paraná,01655,Arapuã,05,Arapuã,,,4101655
313,41,Paraná,01853,Ariranha do Ivaí,05,Ariranha do Ivaí,,,4101853
316,41,Paraná,04402,Cândido de Abreu,15,Três Bicos,,,4104402
317,41,Paraná,08551,Godoy Moreira,05,Godoy Moreira,,,4108551
319,41,Paraná,08700,Grandes Rios,10,Ribeirão Bonito,,,4108700
323,41,Paraná,11506,Ivaiporã,35,Santa Bárbara,,,4111506
324,41,Paraná,12504,Jardim Alegre,05,Jardim Alegre,,,4112504
325,41,Paraná,13429,Lidianópolis,05,Lidianópolis,,,4113429
326,41,Paraná,13759,Lunardelli,05,Lunardelli,,,4113759
328,41,Paraná,14500,Manoel Ribas,10,Barra Santa Salete,,,4114500
331,41,Paraná,17271,Nova Tebas,10,Poema,,,4117271
332,41,Paraná,22172,Rio Branco do Ivaí,05,Rio Branco do Ivaí,,,4122172
333,41,Paraná,22651,Rosário do Ivaí,05,Rosário do Ivaí,,,4122651
337,41,Paraná,25001,São João do Ivaí,30,Santa Luzia da Alvorada,,,4125001
339,41,Paraná,25803,São Pedro do Ivaí,10,Mariza,,,4125803
341,41,Paraná,01903,Assaí,30,Pau D'Alho do Sul,,,4101903
344,41,Paraná,12702,Jataizinho,15,Frei Timóteo,,,4112702
345,41,Paraná,17214,Nova Santa Bárbara,05,Nova Santa Bárbara,,,4117214
346,41,Paraná,21307,Rancho Alegre,05,Rancho Alegre,,,4121307
347,41,Paraná,23204,Santa Cecília do Pavão,05,Santa Cecília do Pavão,,,4123204
351,41,Paraná,24707,São Jerônimo da Serra,20,Vila Nova de Florença,,,4124707
352,41,Paraná,26009,São Sebastião da Amoreira,05,São Sebastião da Amoreira,,,4126009
354,41,Paraná,28401,Uraí,10,Cruzeiro do Norte,,,4128401
355,41,Paraná,00103,Abatiá,05,Abatiá,,,4100103
357,41,Paraná,01101,Andirá,10,Nossa Senhora Aparecida,,,4101101
359,41,Paraná,02406,Bandeirantes,10,Nossa Senhora da Candelária,,,4102406
362,41,Paraná,06001,Congonhinhas,15,São Francisco de Imbaú,,,4106001
364,41,Paraná,06407,Cornélio Procópio,10,Congonhas,,,4106407
366,41,Paraná,11001,Itambaracá,10,São Joaquim do Pontal,,,4111001
367,41,Paraná,13403,Leópolis,05,Leópolis,,,4113403
368,41,Paraná,16604,Nova América da Colina,05,Nova América da Colina,,,4116604
369,41,Paraná,17008,Nova Fátima,05,Nova Fátima,,,4117008
371,41,Paraná,21901,Ribeirão do Pinhal,15,Triolândia,,,4121901
372,41,Paraná,23105,Santa Amélia,05,Santa Amélia,,,4123105
373,41,Paraná,23907,Santa Mariana,05,Santa Mariana,,,4123907
375,41,Paraná,24301,Santo Antônio do Paraíso,10,São Judas Tadeu,,,4124301
377,41,Paraná,26405,Sertaneja,10,Paranagi,,,4126405
378,41,Paraná,02703,Barra do Jacaré,05,Barra do Jacaré,,,4102703
379,41,Paraná,03602,Cambará,05,Cambará,,,4103602
380,41,Paraná,11803,Jacarezinho,05,Jacarezinho,,,4111803
381,41,Paraná,12900,Jundiaí do Sul,05,Jundiaí do Sul,,,4112900
383,41,Paraná,21802,Ribeirão Claro,10,Cachoeira do Espírito Santo,,,4121802
386,41,Paraná,24103,Santo Antônio da Platina,17,Monte Real,,,4124103
387,41,Paraná,06100,Conselheiro Mairinck,05,Conselheiro Mairinck,,,4106100
389,41,Paraná,07009,Curiúva,10,Alecrim,,,4107009
390,41,Paraná,07751,Figueira,05,Figueira,,,4107751
396,41,Paraná,09708,Ibaiti,25,Vila Guay,,,4109708
397,41,Paraná,11704,Jaboti,05,Jaboti,,,4111704
399,41,Paraná,12306,Japira,10,Novo Jardim,,,4112306
401,41,Paraná,19202,Pinhalão,10,Lavrinha,,,4119202
404,41,Paraná,26207,Sapopema,15,Vida Nova,,,4126207
406,41,Paraná,04709,Carlópolis,10,Nova Brasília do Itararé,,,4104709
407,41,Paraná,09005,Guapirama,05,Guapirama,,,4109005
409,41,Paraná,12801,Joaquim Távora,10,Joá,,,4112801
410,41,Paraná,20705,Quatiguá,05,Quatiguá,,,4120705
411,41,Paraná,22909,Salto do Itararé,05,Salto do Itararé,,,4122909
412,41,Paraná,24004,Santana do Itararé,05,Santana do Itararé,,,4124004
413,41,Paraná,25407,São José da Boa Vista,05,São José da Boa Vista,,,4125407
415,41,Paraná,26603,Siqueira Campos,10,Alemoa,,,4126603
417,41,Paraná,27809,Tomazina,10,Sapé,,,4127809
418,41,Paraná,28500,Wenceslau Braz,05,Wenceslau Braz,,,4128500
419,41,Paraná,10078,Imbaú,05,Imbaú,,,4110078
424,41,Paraná,17305,Ortigueira,25,Natingui,,,4117305
427,41,Paraná,21703,Reserva,15,Rio Novo,,,4121703
428,41,Paraná,27106,Telêmaco Borba,05,Telêmaco Borba,,,4127106
431,41,Paraná,27502,Tibagi,20,Caetano Mendes,,,4127502
432,41,Paraná,28534,Ventania,05,Ventania,,,4128534
435,41,Paraná,01606,Arapoti,15,Caratuva,,,4101606
437,41,Paraná,12009,Jaguariaíva,10,Eduardo Xavier da Silva,,,4112009
438,41,Paraná,19400,Piraí do Sul,05,Piraí do Sul,,,4119400
441,41,Paraná,26306,Sengés,10,Reianópolis,,,4126306
442,41,Paraná,04659,Carambeí,05,Carambeí,,,4104659
445,41,Paraná,04907,Castro,20,Socavão,,,4104907
447,41,Paraná,17701,Palmeira,10,Papagaios Novos,,,4117701
451,41,Paraná,19905,Ponta Grossa,25,Uvaia,,,4119905
454,41,Paraná,02000,Assis Chateaubriand,20,Encantado d'Oeste,,,4102000
455,41,Paraná,07157,Diamante D'Oeste,05,Diamante D'Oeste,,,4107157
456,41,Paraná,07538,Entre Rios do Oeste,05,Entre Rios do Oeste,,,4107538
457,41,Paraná,08205,Formosa do Oeste,05,Formosa do Oeste,,,4108205
459,41,Paraná,08809,Guaíra,10,Doutor Oliveira Castro,,,4108809
460,41,Paraná,10656,Iracema do Oeste,05,Iracema do Oeste,,,4110656
462,41,Paraná,12751,Jesuítas,10,Carajá,,,4112751
470,41,Paraná,14609,Marechal Cândido Rondon,55,São Roque,,,4114609
473,41,Paraná,15358,Maripá,20,Pérola Independente,,,4115358
474,41,Paraná,15853,Mercedes,05,Mercedes,,,4115853
477,41,Paraná,17222,Nova Santa Rosa,20,Planalto do Oeste,,,4117222
478,41,Paraná,17453,Ouro Verde do Oeste,05,Ouro Verde do Oeste,,,4117453
480,41,Paraná,17909,Palotina,15,São Camilo,,,4117909
481,41,Paraná,18451,Pato Bragado,05,Pato Bragado,,,4118451
482,41,Paraná,20853,Quatro Pontes,05,Quatro Pontes,,,4120853
484,41,Paraná,23501,Santa Helena,10,São Clemente,,,4123501
485,41,Paraná,25456,São José das Palmeiras,05,São José das Palmeiras,,,4125456
486,41,Paraná,25753,São Pedro do Iguaçu,05,São Pedro do Iguaçu,,,4125753
488,41,Paraná,27403,Terra Roxa,10,Santa Rita d'Oeste,,,4127403
498,41,Paraná,27700,Toledo,40,Novo Sobradinho,,,4127700
499,41,Paraná,27957,Tupãssi,05,Tupãssi,,,4127957
500,41,Paraná,01051,Anahy,05,Anahy,,,4101051
501,41,Paraná,03057,Boa Vista da Aparecida,05,Boa Vista da Aparecida,,,4103057
502,41,Paraná,03354,Braganey,05,Braganey,,,4103354
503,41,Paraná,03453,Cafelândia,05,Cafelândia,,,4103453
504,41,Paraná,04055,Campo Bonito,05,Campo Bonito,,,4104055
506,41,Paraná,04600,Capitão Leônidas Marques,20,Alto Alegre do Iguaçu,,,4104600
511,41,Paraná,04808,Cascavel,40,Sede Alvorada,,,4104808
512,41,Paraná,05003,Catanduvas,05,Catanduvas,,,4105003
514,41,Paraná,06308,Corbélia,25,Ouro Verde do Piquiri,,,4106308
515,41,Paraná,07124,Diamante do Sul,05,Diamante do Sul,,,4107124
519,41,Paraná,09302,Guaraniaçu,30,Guaporé,,,4109302
520,41,Paraná,09757,Ibema,05,Ibema,,,4109757
521,41,Paraná,10052,Iguatu,05,Iguatu,,,4110052
522,41,Paraná,13452,Lindoeste,05,Lindoeste,,,4113452
525,41,Paraná,16703,Nova Aurora,10,Palmitópolis,,,4116703
526,41,Paraná,23824,Santa Lúcia,05,Santa Lúcia,,,4123824
527,41,Paraná,24020,Santa Tereza do Oeste,05,Santa Tereza do Oeste,,,4124020
528,41,Paraná,27858,Três Barras do Paraná,05,Três Barras do Paraná,,,4127858
529,41,Paraná,05300,Céu Azul,05,Céu Azul,,,4105300
531,41,Paraná,08304,Foz do Iguaçu,10,Alvorada do Iguaçu,,,4108304
533,41,Paraná,10953,Itaipulândia,25,São José do Itavó,,,4110953
535,41,Paraná,15606,Matelândia,07,Agro Cafeeira,,,4115606
537,41,Paraná,15804,Medianeira,25,Maralúcia,,,4115804
540,41,Paraná,16059,Missal,20,Portão Ocoí,,,4116059
541,41,Paraná,21257,Ramilândia,05,Ramilândia,,,4121257
542,41,Paraná,24053,Santa Terezinha de Itaipu,05,Santa Terezinha de Itaipu,,,4124053
545,41,Paraná,25704,São Miguel do Iguaçu,20,São José do Iguaçu,,,4125704
546,41,Paraná,26355,Serranópolis do Iguaçu,05,Serranópolis do Iguaçu,,,4126355
547,41,Paraná,28559,Vera Cruz do Oeste,05,Vera Cruz do Oeste,,,4128559
550,41,Paraná,01002,Ampére,15,São Salvador,,,4101002
